"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Tuesday After School Club - Gypsy Hill","Christ Church Gipsy Hill",christchurch@gipsyhill.org.uk,"020 8761 5927",luke@gipsyhill.org.uk,Families,,,0,29,,,"SE19 1DP","SE19 1DP",1,https://croydon.simplyconnect.uk/activities/76d6df70-6ff3-11ed-9cea-23d0cf9ab1e3/tuesday-after-school-club-gypsy-hill
"Tuesday & Wednesday Food Stop in New Addington","Family Centre Fieldway",familycentre.fieldway@virgin.net,07944918278,familycentre.fieldway@virgin.net,"Food Banks","16-21, 21-65, 50+",,0,2007,,,"CR0 9AZ","CR0 9AZ",1,https://croydon.simplyconnect.uk/activities/1cc93080-69ec-11ea-ac73-f964147a6559/tuesday-wednesday-food-stop-in-new-addington
"Tuesday 'Moving into Wellbeing' gentle exercise group  -  Gypsy Hill","Christ Church Gipsy Hill",christchurch@gipsyhill.org.uk,"020 8761 5927",christchurch@gipsyhill.org.uk,Wellbeing,,,0,17,,,"SE19 1DP","SE19 1DP",1,https://croydon.simplyconnect.uk/activities/488ce850-6ff2-11ed-860a-03b91c9cc48e/tuesday-moving-into-wellbeing-gentle-exercise-group-gypsy-hill
"Tuesday 'Guild'","St Paul's United Reformed Church",secretary@stpaulsurc.org.uk,07971068887,secretary@stpaulsurc.org.uk,"Other - Social Groups & Activities",50+,,0,235,,,"CR2 7HF","CR2 7HF",1,https://croydon.simplyconnect.uk/activities/c2a0db40-8362-11ec-b1fa-3903b56ab866/tuesday-guild
"Tuesday - Open Door - Community Drop In - Gypsy Hill","Christ Church Gipsy Hill",christchurch@gipsyhill.org.uk,"020 8761 5927",christchurch@gipsyhill.org.uk,"Neighbourhood & Communities",,,0,28,,,"SE19 1DP","SE19 1DP",1,https://croydon.simplyconnect.uk/activities/d0360730-6ff2-11ed-add9-872664326fe9/tuesday-open-door-community-drop-in-gypsy-hill
Tryb4uFly,"QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","16-21, Under 16",,0,312,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/ded37f60-442f-11ea-9fe0-cfc46b251e17/tryb4ufly
Transport,"Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,"Transport & Mobility","16-21, 21-65, 50+",,0,437,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/dce6a0c0-442f-11ea-abf8-51e63ae1f960/transport
"Transfer and Seating Assessments","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","16-21, 21-65",,0,277,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/dc671110-442f-11ea-bbcf-478e4edd873e/transfer-and-seating-assessments
"Training Courses for Professionals","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Other - Advice, Support & Self Help","16-21, 21-65, 50+",,0,315,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/dbc30fe0-442f-11ea-b1d9-e5f7d8a975f5/training-courses-for-professionals
"Training and networking opportunity for volunteers - Mental Health","Age UK Croydon",laura.james@ageukcroydon.org.uk,,,"Mental Health",,,0,58,,,"CR0 2NW","CR7 7DG",1,https://croydon.simplyconnect.uk/activities/4482a840-247f-11ed-9bcc-a704f65ef105/training-and-networking-opportunity-for-volunteers-mental-health
"Training and Awareness","Emerge Worldwide",enquiries@emergeworldwide.org.uk,07876757307,enquiries@emergeworldwide.org.uk,"Education ","16-21, 21-65, 50+, Under 16",,0,55,,,"CR7 7RU","CR7 7RU",1,https://croydon.simplyconnect.uk/activities/f812e900-c55f-11ec-b5ac-c3537da07de5/training-and-awareness
Traineeship,"Write Time, The",chrismurray@thewritetime.org.uk,02086897676,Chrismurray@the-write-time.org,"Education ",16-21,,0,78,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/db42f930-442f-11ea-99b6-0fb05ff4ae6a/traineeship
"Thursday Free Breakfast, Food Stop/Food Deliveries in Monks Hill and Forestdale","St Francis Monks Hill",revpeterw@googlemail.com,,stfrancisselsdon@gmail.com,"Food Banks",,,0,337,,,"CR2 8AH","CR2 8AH",1,https://croydon.simplyconnect.uk/activities/6d68c6e0-7e59-11ea-aeb4-df7ae087919e/thursday-free-breakfast-food-stopfood-deliveries-in-monks-hill-and-forestdale
"Thursday Food Parcels and other essentials for families in Waddon/Central Croydon","St Dominic's Catholic Church",waddon@rcaos.org.uk,"07545 600 611",info@counsellingforlife.com,"Food Banks",,,0,293,,,"CR0 4HN","CR0 4HN",1,https://croydon.simplyconnect.uk/activities/e5d2c970-ee07-11ea-be46-fb0ff17fb360/thursday-food-parcels-and-other-essentials-for-families-in-waddoncentral-croydon
"Thursday Food parcel deliveries to Norbury and surrounding areas","Diamonds International Christian Ministries",leadadmin@diamondsdicm.org,07577265280,leadadmin@diamondsdicm.org,"Food Banks",,,0,114,,,"CR7 8BT","CR7 8BT",1,https://croydon.simplyconnect.uk/activities/ece71730-358b-11ec-8ad6-19d625cec92f/thursday-food-parcel-deliveries-to-norbury-and-surrounding-areas
"Thursday Food and clothes for homeless and vulnerably-housed adults (FB)","Purley Baptist Church",office@purleybaptist.org,"020 8668 0422",office@purleybaptist.org,"Food Banks",,,0,579,,,"CR8 3EA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/556ce8d0-4128-11eb-ab65-89d5dbc125b3/thursday-food-and-clothes-for-homeless-and-vulnerably-housed-adults-fb
"Thursday - Freshly Cooked  Hot Food for the homeless and those in need (FB)","Al Noor Institute",alnoor.fooddrive@gmail.com,"07432 666008",alnoor.fooddrive@gmail.com,"Food Banks",,,0,173,,,"SW16 4AE","SW16 4AE",1,https://croydon.simplyconnect.uk/activities/1d512be0-2024-11eb-b287-8dd899597809/thursday-freshly-cooked-hot-food-for-the-homeless-and-those-in-need-fb
"Thornton Heath, Tuesday Community Tech Support",ClearCommunityWeb,info@clearcommunityweb.co.uk,,info@clearcommunityweb.co.uk,"Digital Inclusion","21-65, 50+",,0,88,,,"CR7 7JH","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/3dbf1140-b658-11ec-8f38-0739e5686b70/thornton-heath-tuesday-community-tech-support
"Thornton Heath Community Action Team","Croydon North West Local Community Partnership",,,,"Community Centres",,,0,103,,,"CR7 7RD","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/ab241ba0-0e5a-11ed-9957-694018f7cd02/thornton-heath-community-action-team
"Theory Test Tuition","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","16-21, 21-65, 50+",,0,273,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/d90a79e0-442f-11ea-abd5-9d9aba02d57e/theory-test-tuition
"The Tide","Talawa Theatre Co",contact@talawa.com,"020 7251 6644",contact@talawa.com,"Other - Social Groups & Activities","16-21, 21-65, 50+",,0,12,,,"CR0 5PB","CR9 1DG",1,https://croydon.simplyconnect.uk/activities/c6766720-fe72-11eb-91a1-b70c4094e5fb/the-tide
"The Science of Nutrition","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1019",marcina.brown@croydon.gov.uk,Wellbeing,"16-21, 21-65, 50+",,0,233,,,"CR0 8BH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/d7df3700-442f-11ea-bb1e-1b2f0767384b/the-science-of-nutrition
"The Saturday Club for adults with a learning disability","Croydon Mencap",info@croydonmencap.org.uk,"07718 494 614",rory@croydonmencap.org.uk,Disability,"16-21, 21-65",,0,195,,,"CR0 6TP","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/b8c4d6e0-1b20-11ec-8f09-f7ce844fbca2/the-saturday-club-for-adults-with-a-learning-disability
"The Rock","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,office@emmanuelcroydon.org.uk,"Faith Groups",,,0,59,,,"CR2 7AQ","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/003b91c0-514a-11ed-83e2-d979b9724936/the-rock
"The Road to Recovery","Asian Resource Centre of Croydon",info@arccltd.com,"020 8684 3784",beena.ali@arccltd.com,"Mental Health",,,0,26,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/7d2c2b30-213d-11ec-b37d-733be04753cb/the-road-to-recovery
"The Right Track","Duffus Community Foundation (DCF)",info@duffusfoundation.org,07856482888,info@duffusfoundation.org,"Youth Social Groups","16-21, Under 16",,0,175,,,"CR0 1UF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/3ecb88b0-7696-11eb-aeef-e9c2486cec8e/the-right-track
"The Reaching Higher Football Academy","Reaching Higher",info@reachinghigher.org.uk,,info@reachinghigher.org.uk,"Sports Clubs","16-21, Under 16",,0,539,,,"CR9 7AT","SE25 6ES",1,https://croydon.simplyconnect.uk/activities/72e2fc60-57c7-11ea-a0f3-6b2edbc14ab1/the-reaching-higher-football-academy
"The Reach-In Service - Hestia's new service",Hestia,volunteering@hestia.org,"0808 168 0602 Free phone number",,"General Advice & Info",,,0,340,,,,"SE1 1LB",1,https://croydon.simplyconnect.uk/activities/563ca060-a805-11eb-bffa-71b97d48fd27/the-reach-in-service-hestias-new-service
"The Mother's Union Meet Up","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@stmildredschurch.org.uk,"Social Groups",,,0,205,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/78bb6060-c4e0-11ea-8cd5-d3fbc57e9493/the-mothers-union-meet-up
"The Lois Project & Feed One Teach One","Lois Project. The",theloisproject@gmail.com,07808603499,theloisproject@gmail.com,"Food Banks",,,0,246,,,,"EC1V 2NX.",1,https://croydon.simplyconnect.uk/activities/6a068fd0-914d-11eb-a348-d3c7511e2ea6/the-lois-project-feed-one-teach-one
"The Lit","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@stmildredschurch.org.uk,"Library & Reading Groups",,,0,274,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/25cccc30-c2c2-11ea-92c8-c53a71ca65fd/the-lit
"The Lioness Circle","Lioness Tamar",tamar@lionesstamar.com,"07904 875793",tamar@lionesstamar.com,"Violence & Abuse","16-21, 21-65, 50+",,0,289,,,"CR7 6AA","CR7 6AA",1,https://croydon.simplyconnect.uk/activities/d58f2c30-442f-11ea-869a-bb53a0ddda6c/the-lioness-circle
"The Leaders in Training Programme","Reaching Higher",info@reachinghigher.org.uk,,info@reachinghigher.org.uk,"Education ",,,0,476,,,"SE25 6EG","SE25 6ES",1,https://croydon.simplyconnect.uk/activities/fd9882f0-57cc-11ea-8f4a-efd38c178dd0/the-leaders-in-training-programme
"The Lakes Cafe","Croydon Voluntary Action - Waterside Centre",bookings@cvalive.org.uk,,,Families,,,0,31,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/d14d5280-6677-11ed-88d4-ef3367e84640/the-lakes-cafe
"The Importance of Early Cancer Screening - Discussion with Lee Townsend","Asian Resource Centre of Croydon",info@arccltd.com,"020 8684 3784",tom.grashion@arccltd.com,"Health Improvement & Management",,,0,42,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/053a48c0-e815-11ec-b753-39f5e8050e2e/the-importance-of-early-cancer-screening-discussion-with-lee-townsend
"The Hive Community Choir","St John the Evangelist Upper Norwood SE19",,,info@therosewindow.org,"Social Groups",,,0,227,,,"SE19 2RX","SE19 2RX",1,https://croydon.simplyconnect.uk/activities/a1bdc280-526d-11ea-9fb6-49cd996cba00/the-hive-community-choir
"The Hear Us Virtual Online Forum","Hear Us User Group",Tim@hear-us.org,"020 8681 6888",info@hear-us.org,"Mental Health",,,0,322,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/4e1a7040-24e6-11eb-b8fb-71f76639d330/the-hear-us-virtual-online-forum
"The Anti-Burnout Club","The Anti-Burnout Club",hello@theantiburnoutclub.com,03300437323,bex@theantiburnoutclub.com,Wellbeing,"21-65, 50+",,0,19,,,"TN2 3UN","TN2 3UN",1,https://croydon.simplyconnect.uk/activities/b45fd130-17e7-11ed-97e4-c155538cb5c5/the-anti-burnout-club
"The Ad Lib Club","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1009",chris.shields@croydon.gov.uk,"Social Groups",50+,,0,165,,,"CR0 0JD","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/d2975e40-442f-11ea-b3df-e96dc67062e2/the-ad-lib-club
"Thai Boxing","Croydon Voluntary Action",cva@cvalive.org.uk,,Christine.double@cvalive.org.uk,,"Under 16",,0,177,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/88c4bbb0-7df2-11ec-b557-b9f9ef6a259a/thai-boxing
"test activity 11June21","Simply Connect",,,,,,,0,,,,,"S1 4FW",1,https://croydon.simplyconnect.uk/activities/ec244050-ca89-11eb-9e98-37de00c6af89/test-activity-11june21
Tennis,"Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"020 8253 8205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,316,,,"CR2 7ES","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/fd8e15a0-63ba-11ea-874c-eb089060e26b/tennis
"Telephone/Video Counselling for those in in their supported accommodation","Evolve Housing + Support",enquiries@evolvehousing.org.uk,"077 1599 1309.",jenna.soame@evolvehousing.org.uk,Counselling,,,0,137,,,"SW19 1JZ","SW19 1JZ",1,https://croydon.simplyconnect.uk/activities/96690260-6258-11ec-8e13-f3a97236997e/telephonevideo-counselling-for-those-in-in-their-supported-accommodation
"Telephone Support Line","One In Four",admin@oneinfour.org.uk,"07545 600 611",coordinator@oneinfour.org.uk,"Violence & Abuse",,,0,44,,,"SE6 2PG","SE6 2PG",1,https://croydon.simplyconnect.uk/activities/c5a05960-ee09-11ea-9902-53c522ddf2eb/telephone-support-line
"Telephone Support and Deliveries in Addiscombe","Addiscombe Neighbourhood Care Association",info@anca.org.uk,,info@anca.org.uk,"Other - Advice, Support & Self Help",,,0,785,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/780565b0-7293-11ea-88a8-1548193f0914/telephone-support-and-deliveries-in-addiscombe
"Telephone English Lessons for Young Refugees and Asylum Seekers",Linguahouse,linguashouse@gmail.com,,linguashouse@gmail.com,"Education ",,,0,206,,,"CR0 3SN","CR0 3SN",1,https://croydon.simplyconnect.uk/activities/e9d62530-8fad-11ea-af46-073c6815607c/telephone-english-lessons-for-young-refugees-and-asylum-seekers
"Telephone Befriending and Shopping in Croham Hurst","Croham Hurst Good Neighbours",chgnoffice@gmail.com,"07958 455740",chgnoffice@gmail.com,"Other - Advice, Support & Self Help",,,0,201,,,"CR2 7BA","CR2 7DR",1,https://croydon.simplyconnect.uk/activities/98d8ce80-799d-11ea-a817-07d6f9900bee/telephone-befriending-and-shopping-in-croham-hurst
"Telephone and Email Contact","St George, Waddon",,"020 8688 7006",patricia.vowels@yahoo.com,"Befriending & Mentoring",,,0,96,,,"CR0 4EZ","CR0 4EZ",1,https://croydon.simplyconnect.uk/activities/4b98b3a0-c4f7-11ea-bf7b-77215f768c51/telephone-and-email-contact
"Telephone Advice - Citizens Advice Croydon","Citizens Advice Croydon - South Norwood Office",,"0800 144 88 48",policy3@croydoncab.org.uk,"Other - Advice, Support & Self Help",,,0,286,,,"SE25 4PQ","SE25 4PQ",1,https://croydon.simplyconnect.uk/activities/104cc030-2049-11eb-aa6f-550bed6cac72/telephone-advice-citizens-advice-croydon
"Tea and Tech (Upper Norwood Library Hub)","Upper Norwood Library Hub",info@unlt.org,"07523 646 277",caspar@clearcommunityweb.co.uk,"Employment, Skills & Enterprise ",50+,,0,145,,,"SE19 1TJ","SE19 1TJ",1,https://croydon.simplyconnect.uk/activities/d2f78370-bf53-11ea-aaee-b704693e5196/tea-and-tech-upper-norwood-library-hub
"Tax Help for Older People (Purley Cross Centre)","Purley Cross Community Information Centre",info@purleycrosscentre.org,"0208 668 4189",info@purleycrosscentre.org,"Financial (debt advice or grants)",50+,,0,193,,,"CR8 3EA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/cc1383f0-442f-11ea-8634-410ddbe0b450/tax-help-for-older-people-purley-cross-centre
"Tamil Women's Group","Empowering Tamil Families",yogarani16@gmail.com,07821142118/07703558996,yogarani16@gmail.com,"Hobbies & Interests",,,0,399,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/cb9a3b40-442f-11ea-909e-113edebad384/tamil-womens-group
"Tamil English Reading Group- Broad Green","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1005",Anthony.saridakis@croydon.gov.uk,"Library & Reading Groups","16-21, 21-65, 50+, Under 16",,0,142,,,"CR0 3HH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/cafe0480-442f-11ea-8353-2fa4d075fd88/tamil-english-reading-group-broad-green
"Talking Newspaper","Croydon Vision",info@croydonvision.org.uk,"020 86882486",info@croydonvision.org.uk,"Independent Living","21-65, 50+",,0,463,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/ca7bec80-442f-11ea-97a9-85eb6e643dbc/talking-newspaper
"Talking Bubble: Would you like to be a Befriender?","Dialogue Society",talkingbubble@dialoguesociety.org,07923342453,talkingbubble@dialoguesociety.org,,,,0,10,,,,"WC1V 6AZ",1,https://croydon.simplyconnect.uk/activities/21083270-b6f4-11eb-9228-5fb49dee8e2d/talking-bubble-would-you-like-to-be-a-befriender
"Talking Bubble","Dialogue Society",talkingbubble@dialoguesociety.org,07923342453,talkingbubble@dialoguesociety.org,"Befriending & Mentoring",,,0,,,,,"WC1V 6AZ",1,https://croydon.simplyconnect.uk/activities/b28f0bc0-b6f2-11eb-9d4a-f9fa08b93d4b/talking-bubble
"Talkbus Outreach","Croydon Drop In",enquiries@croydondropin.org.uk,,enquiries@croydondropin.org.uk,"Mental Health",,,0,469,,,"CR0 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/bc801970-1ae9-11ec-91df-ad233d91c377/talkbus-outreach
"Tai Chi Lessons","7 Up Tai Chi",7uptaichi@gmail.com,07825222134,7uptaichi@gmail.com,Wellbeing,"16-21, 21-65, 50+, Under 16",,0,49,,,"CR3 6PG","CR3 6PG",1,https://croydon.simplyconnect.uk/activities/8e18d630-fdd5-11ec-b171-05dadeb7de22/tai-chi-lessons
"Tai Chi and Qi Gong class for beginners","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Exercise & Outdoor Activities",,,0,29,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/c7aad140-6599-11ed-8681-e5640bf21ce8/tai-chi-and-qi-gong-class-for-beginners
"Tai Chi  (for Seniors)","Sunrise of Purley",,"0208 676 2300",purley.enquiries@sunriseseniorliving.com,"Exercise & Outdoor Activities",50+,,0,154,,,"CR8 2LF","CR8 2LF",1,https://croydon.simplyconnect.uk/activities/c995fb90-442f-11ea-b9b4-7555f8b8fe58/tai-chi-for-seniors
"Tai Chi","Carers Support Centre",info@carersinfo.org.uk,"020 8663 5674",enquiries@carersinfo.org.uk,"Health Improvement & Management",,,0,255,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/daca36e0-4df4-11ea-89a1-1d941aff831c/tai-chi
"Tai Chi","Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"0208 2538205",activeminds@mindincroydon.org.uk,"Fitness Classes",,,0,414,,,"CR0 1TY","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/98289fc0-9951-11ec-8157-5d19c8e2979f/tai-chi
"Table Tennis","Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"020 8253 8205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,300,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/94cb7a30-63bb-11ea-b979-9577590d4b95/table-tennis
"Switching webinar","South West London Law Centres",enquiries@swllc.org,"020 8767 2777 (9.30am-5pm Mon-Fri)",enquiries@swllc.org,"Financial (debt advice or grants)","16-21, 21-65, 50+",,0,38,,,,"CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/169511d0-769c-11eb-8a20-69e42cc5e144/switching-webinar
"Sustainable Thornton Heath","Croydon North East Local Community Partnership",,,,"Social Groups",,,0,55,,,"CR7 8QQ","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/00df7100-1248-11ed-838a-556b8de6a35f/sustainable-thornton-heath
"Supporting Young People and their families in Croydon caught in violence, exploitation & trauma (F)","Parental Army",parentalarmy@gmail.com,"01689 867 357",parentalarmy@gmail.com,Families,,,0,81,,,"CR0 9DX","CR0 9DX",1,https://croydon.simplyconnect.uk/activities/1f8efc50-2404-11eb-a191-812c43a8f63b/supporting-young-people-and-their-families-in-croydon-caught-in-violence-exploitation-trauma-f
"Supporting Young People and their families in Croydon caught in violence, exploitation & trauma (AS&SH)","Parental Army",parentalarmy@gmail.com,"01689 867 357",parentalarmy@gmail.com,"General Advice & Info",,,0,218,,,"CR0 9DX","CR0 9DX",1,https://croydon.simplyconnect.uk/activities/b2ebdb40-2403-11eb-964d-79ad52ea6c09/supporting-young-people-and-their-families-in-croydon-caught-in-violence-exploitation-trauma-assh
"Supporting Children who Experience Social & Communication Difficulties - An Online Course for Parents & Carers","National Autistic Society",volunteers@nas.org.uk,"07436 564 370",croydonscd@nas.org.uk,"Carers ","16-21, 21-65, 50+",,0,110,,,"EC1V 1NG","EC1V 1NG",1,https://croydon.simplyconnect.uk/activities/e52e8420-609b-11eb-99bf-c3151ccb3e16/supporting-children-who-experience-social-communication-difficulties-an-online-course-for-parents-carers
"Supported Housing Services","Rising Stars Support C.I.C.",info@risingstarssupport.com,"0208 682 9668",info@risingstarssupport.com,"Housing ",16-21,,0,83,,,"SW17 8TA","SW17 8TA",1,https://croydon.simplyconnect.uk/activities/900c7210-d060-11ec-ac09-cbc255c92f8f/supported-housing-services
"Support with Official Letters and CVs, Financial Support","Solace International",solaceinternational@yahoo.co.uk,,solaceinternational@yahoo.co.uk,"Financial (debt advice or grants)",,,0,472,,,"CR0 2TB","CR7 7EQ",1,https://croydon.simplyconnect.uk/activities/404a4050-7a73-11ea-9d19-ef6661f8c315/support-with-official-letters-and-cvs-financial-support
"Support to Stop Smoking - Virtual Coffee Morning","Asian Resource Centre of Croydon",info@arccltd.com,"020 8684 3784",info@arccltd.com,"Other - Advice, Support & Self Help, Other - Advice, Support & Self Help, Other - Advice, Support & Self Help",,,0,56,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/05d3ce60-34a3-11eb-960e-893237bbef42/support-to-stop-smoking-virtual-coffee-morning
"Support Service","FJC (formerly Family Justice Centre)",FJC@croydon.gov.uk,"020 8688 0100",fjc@croydon.gov.uk,"Violence & Abuse","16-21, 21-65, 50+",,0,93,,,"CR0 1EA","CR0 1EA",1,https://croydon.simplyconnect.uk/activities/c7050100-442f-11ea-a2cd-e7a3bfa72b33/support-service
"Support provided by Croydon Council to rough sleepers","Thames Reach",enquiries@thamesreach.org.uk,,CRDuty@thamesreach.org.uk,"Housing ",,,0,10,,,"SE5 8UA","SE5 8UA",1,https://croydon.simplyconnect.uk/activities/cbfe81a0-4123-11eb-82ba-43070f14b937/support-provided-by-croydon-council-to-rough-sleepers
"Support Groups","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","16-21, 21-65, 50+",,0,228,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/c6430f10-442f-11ea-b6cb-693d3587de3c/support-groups
"Support Group Facilitator","Bromley & Croydon Women’s Aid",info@bcwa.org.uk,"0208 313 9303",volunteering@bcwa.org.uk,,,,0,18,,,"SE20 8QT","SE20 8QT",1,https://croydon.simplyconnect.uk/activities/6c14c110-a3b2-11ec-afd2-af4c7f5ba982/support-group-facilitator
"Support for those with Learning Disabilities","Croydon People First",info@croydonpeoplefirst.org.uk,"07395 789 108",info@croydonpeoplefirst.org.uk,"Exercise & Outdoor Activities",,,0,125,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/4ace27d0-7a69-11ea-86ed-03b07dd12e20/support-for-those-with-learning-disabilities
"Support for Homeless Young People","New Horizon Youth Centre",info@nhyouthcentre.org.uk,02073885560,info@nhyouthcentre.org.uk,Wellbeing,16-21,,0,12,,,"NW1 1JR","NW1 1JR",1,https://croydon.simplyconnect.uk/activities/b233b850-2ff9-11ec-84d3-6337a29807dc/support-for-homeless-young-people
"Support for Families with Children Under 5","Little Village",volunteer@littlevillagehq.org,,rebecca@littlevillagehq.org,"Other - Advice, Support & Self Help",,,0,240,,,"SW17 7AP","SW17 7AP",1,https://croydon.simplyconnect.uk/activities/871fb970-c4f0-11ea-a6fe-e134ed334d79/support-for-families-with-children-under-5
"Support for Carers","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339",info@carersinfo.org.uk,"Carers ",,,0,415,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/f18c47b0-6f66-11ea-b36a-2dd62c81404d/support-for-carers
"Support and Practical Help (Self-referrals)","Home-Start Croydon",contact@croydon-homestart.co.uk,"020 8667 0207",contact@croydon-homestart.co.uk,Parenting,"16-21, 21-65",,0,382,,,"CR0 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/c5c20100-442f-11ea-8f7f-45d60427acfb/support-and-practical-help-self-referrals
"Support and Advice","African Caribbean Leukaemia Trust (ACLT)",info@aclt.org,"020 3757 7700",info@aclt.org,"Other - Advice, Support & Self Help",,,0,97,,,"CR7 8RD","CR7 8RD",1,https://croydon.simplyconnect.uk/activities/72792a60-2d89-11eb-8234-5525405dc3ac/support-and-advice
"Support & Guidance for Families & Professionals",WalkwithMeUk,info@walkwithmeuk.co.uk,"07883 654495",info@walkwithmeuk.co.uk,Parenting,21-65,,0,216,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/17f53e60-f2b3-11ea-ae7f-c91a16f35dbb/support-guidance-for-families-professionals
"Supplementary School","British Bangladeshi Society Croydon (BBSC)",bbsc786@gmail.com,"020 8684 0272/07961 427 044",bwac786@gmail.com,"Education ","Under 16",,0,318,,,"CR7 7ER","CR0 2NP.",1,https://croydon.simplyconnect.uk/activities/45c34060-0303-11eb-a6af-c90bb4eb56f2/supplementary-school
"Super Saturdays 8 - 11","South London Inclusive Dance Experience",info@slidedance.org,07754639009,info@slidedance.org,Wellbeing,"Under 16",,0,82,,,"CR2 7DP","CR2 7DP",1,https://croydon.simplyconnect.uk/activities/e79979e0-38f4-11ed-96c3-43df929b24d0/super-saturdays-8-11
"Super Saturdays 12 - 16","South London Inclusive Dance Experience",info@slidedance.org,"07754 639009",info@slidedance.org,Wellbeing,"Under 16",,0,61,,,"CR2 7DP","CR2 7DP",1,https://croydon.simplyconnect.uk/activities/82273580-38f5-11ed-bc15-2be2b4c3151f/super-saturdays-12-16
