Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Tamil Women's Group,Empowering Tamil Families,yogarani16@gmail.com,07821142118/07703558996,yogarani16@gmail.com,Hobbies & Interests,,,0,462,,,CR0 2TB,CR0 2TB,1,,,https://croydon.simplyconnect.uk/activities/cb9a3b40-442f-11ea-909e-113edebad384/tamil-womens-group
Tamil English Reading Group- Broad Green,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1005,Anthony.saridakis@croydon.gov.uk,Library & Reading Groups,"16-21, 21-65, 50+, Under 16",,0,174,,,CR0 3HH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/cafe0480-442f-11ea-8353-2fa4d075fd88/tamil-english-reading-group-broad-green
Talking Newspaper,Croydon Vision,info@croydonvision.org.uk,020 86882486,info@croydonvision.org.uk,Independent Living,"21-65, 50+",,0,504,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/ca7bec80-442f-11ea-97a9-85eb6e643dbc/talking-newspaper
Talkbus Outreach,Croydon Drop In,enquiries@croydondropin.org.uk,,enquiries@croydondropin.org.uk,Mental Health,,,0,550,,,CR0 1RF,CR0 1RF,1,08/03/2022 00:00,,https://croydon.simplyconnect.uk/activities/bc801970-1ae9-11ec-91df-ad233d91c377/talkbus-outreach
Tai Chi Lessons,7 Up Tai Chi,7uptaichi@gmail.com,7825222134,7uptaichi@gmail.com,Wellbeing,"16-21, 21-65, 50+, Under 16",,0,76,,,CR3 6PG,CR3 6PG,1,6/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/8e18d630-fdd5-11ec-b171-05dadeb7de22/tai-chi-lessons
Tai Chi and Qi Gong class for beginners,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Exercise & Outdoor Activities,,,0,66,,,CR0 5NQ,CR0 5NQ,1,10/22/2022 0:00,,https://croydon.simplyconnect.uk/activities/c7aad140-6599-11ed-8681-e5640bf21ce8/tai-chi-and-qi-gong-class-for-beginners
Tai Chi  (for Seniors),Sunrise of Purley,,0208 676 2300,purley.enquiries@sunriseseniorliving.com,Exercise & Outdoor Activities,50+,,0,183,,,CR8 2LF,CR8 2LF,1,6/27/2019 0:00,,https://croydon.simplyconnect.uk/activities/c995fb90-442f-11ea-b9b4-7555f8b8fe58/tai-chi-for-seniors
Tai Chi,Carers Support Centre,info@carersinfo.org.uk,020 8663 5674,enquiries@carersinfo.org.uk,Health Improvement & Management,,,0,268,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/daca36e0-4df4-11ea-89a1-1d941aff831c/tai-chi
Tai Chi,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Fitness Classes,,,0,589,,,CR0 1TY,CR2 6EZ,1,03/01/2022 00:00,,https://croydon.simplyconnect.uk/activities/98289fc0-9951-11ec-8157-5d19c8e2979f/tai-chi
Table Tennis,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,020 8253 8205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,337,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/94cb7a30-63bb-11ea-b979-9577590d4b95/table-tennis
Sustainable Thornton Heath,Croydon North East Local Community Partnership,,,,Social Groups,,,0,92,,,CR7 8QQ,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/00df7100-1248-11ed-838a-556b8de6a35f/sustainable-thornton-heath
"Supporting Young People and their families in Croydon caught in violence, exploitation & trauma (F)",Parental Army,parentalarmy@gmail.com,01689 867 357,parentalarmy@gmail.com,Families,,,0,101,,,CR0 9DX,CR0 9DX,1,11/11/2020 00:00,,https://croydon.simplyconnect.uk/activities/1f8efc50-2404-11eb-a191-812c43a8f63b/supporting-young-people-and-their-families-in-croydon-caught-in-violence-exploitation-trauma-f
"Supporting Young People and their families in Croydon caught in violence, exploitation & trauma (AS&SH)",Parental Army,parentalarmy@gmail.com,01689 867 357,parentalarmy@gmail.com,General Advice & Info,,,0,268,,,CR0 9DX,CR0 9DX,1,11/11/2020 00:00,,https://croydon.simplyconnect.uk/activities/b2ebdb40-2403-11eb-964d-79ad52ea6c09/supporting-young-people-and-their-families-in-croydon-caught-in-violence-exploitation-trauma-assh
Supporting Children who Experience Social & Communication Difficulties - An Online Course for Parents & Carers,National Autistic Society,volunteers@nas.org.uk,07436 564 370,croydonscd@nas.org.uk,Carers ,"16-21, 21-65, 50+",,0,134,,,EC1V 1NG,EC1V 1NG,1,1/27/2021 0:00,,https://croydon.simplyconnect.uk/activities/e52e8420-609b-11eb-99bf-c3151ccb3e16/supporting-children-who-experience-social-communication-difficulties-an-online-course-for-parents-carers
Supported Housing Services,Rising Stars Support C.I.C.,info@risingstarssupport.com,0208 682 9668,info@risingstarssupport.com,Housing ,16-21,,0,121,,,SW17 8TA,SW17 8TA,1,05/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/900c7210-d060-11ec-ac09-cbc255c92f8f/supported-housing-services
Support Service,FJC (formerly Family Justice Centre),FJC@croydon.gov.uk,020 8688 0100,fjc@croydon.gov.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,105,,,CR0 1EA,CR0 1EA,1,,,https://croydon.simplyconnect.uk/activities/c7050100-442f-11ea-a2cd-e7a3bfa72b33/support-service
Support Groups,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,261,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/c6430f10-442f-11ea-b6cb-693d3587de3c/support-groups
Support Group Facilitator,Bromley & Croydon Women’s Aid,info@bcwa.org.uk,0208 313 9303,volunteering@bcwa.org.uk,"Other - Advice, Support & Self Help",,,0,19,,,SE20 8QT,SE20 9BW,1,04/01/2023 00:00,,https://croydon.simplyconnect.uk/activities/6c14c110-a3b2-11ec-afd2-af4c7f5ba982/support-group-facilitator
Support for those with Learning Disabilities,Croydon People First,info@croydonpeoplefirst.org.uk,07395 789 108,info@croydonpeoplefirst.org.uk,Exercise & Outdoor Activities,,,0,139,,,CR7 7HU,CR7 7HU,1,04/09/2020 00:00,,https://croydon.simplyconnect.uk/activities/4ace27d0-7a69-11ea-86ed-03b07dd12e20/support-for-those-with-learning-disabilities
Support for job seekers  with health condition/disability/significant barrier to employment (ASSH),Reed in Partnership,Ursula.johnston@reed.com,0208 256 1345,Ursula.johnston@reed.com,"Other - Advice, Support & Self Help",,,0,35,,,CR1 1PE,CR1 1PE,1,1/29/2023 0:00,,https://croydon.simplyconnect.uk/activities/676c1810-a189-11ed-a5a7-8bd9089d77eb/support-for-job-seekers-with-health-conditiondisabilitysignificant-barrier-to-employment-assh
Support for Families with Children Under 5,Little Village,volunteer@littlevillagehq.org,,rebecca@littlevillagehq.org,"Other - Advice, Support & Self Help",,,0,268,,,SW17 7AP,SW17 7AP,1,04/08/2020 00:00,,https://croydon.simplyconnect.uk/activities/871fb970-c4f0-11ea-a6fe-e134ed334d79/support-for-families-with-children-under-5
Support and Practical Help (Self-referrals),Home-Start Croydon,contact@croydon-homestart.co.uk,020 8667 0207,contact@croydon-homestart.co.uk,Parenting,"16-21, 21-65",,0,415,,,CR0 1RF,CR0 1RF,1,,,https://croydon.simplyconnect.uk/activities/c5c20100-442f-11ea-8f7f-45d60427acfb/support-and-practical-help-self-referrals
Support and Advice,African Caribbean Leukaemia Trust (ACLT),info@aclt.org,020 3757 7700,info@aclt.org,"Other - Advice, Support & Self Help",,,0,109,,,CR7 8RD,CR7 8RD,1,11/23/2020 0:00,,https://croydon.simplyconnect.uk/activities/72792a60-2d89-11eb-8234-5525405dc3ac/support-and-advice
Support & Guidance for Families & Professionals,WalkwithMeUk,info@walkwithmeuk.co.uk,07883 654495,info@walkwithmeuk.co.uk,Parenting,21-65,,0,285,,,CR0 3RG,CR0 3RG,1,09/09/2020 00:00,,https://croydon.simplyconnect.uk/activities/17f53e60-f2b3-11ea-ae7f-c91a16f35dbb/support-guidance-for-families-professionals
Supplementary School,British Bangladeshi Society Croydon (BBSC),bbsc786@gmail.com,020 8684 0272/07961 427 044,bwac786@gmail.com,Education ,Under 16,,0,347,,,CR7 7ER,CR0 2NP.,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/45c34060-0303-11eb-a6af-c90bb4eb56f2/supplementary-school
Super Saturdays 8 - 11,South London Inclusive Dance Experience,info@slidedance.org,7754639009,info@slidedance.org,Wellbeing,Under 16,,0,98,,,CR2 7DP,CR2 7DP,1,9/17/2022 0:00,7/22/2023 0:00,https://croydon.simplyconnect.uk/activities/e79979e0-38f4-11ed-96c3-43df929b24d0/super-saturdays-8-11
Super Saturdays 12 - 16,South London Inclusive Dance Experience,info@slidedance.org,07754 639009,info@slidedance.org,Wellbeing,Under 16,,0,79,,,CR2 7DP,CR2 7DP,1,9/17/2022 0:00,7/22/2023 0:00,https://croydon.simplyconnect.uk/activities/82273580-38f5-11ed-bc15-2be2b4c3151f/super-saturdays-12-16
Sunrise Pathfinder Club,New Addington Seventh Day Adventist Church,webteam@croydonadventist.org,,sunriseclub1@yahoo.com,Youth Social Groups,Under 16,,0,158,,,CR0 0DL,CR0 0JB,1,03/07/2020 00:00,,https://croydon.simplyconnect.uk/activities/df548ac0-6383-11ea-8863-4b2d54a20551/sunrise-pathfinder-club
Sunrise Adventurer Club,New Addington Seventh Day Adventist Church,webteam@croydonadventist.org,7403772126,sunriseclub1@yahoo.com,Youth Social Groups,"0-5, Under 16",,0,155,,,CR0 0DL,CR0 0JB,1,03/07/2020 00:00,,https://croydon.simplyconnect.uk/activities/7e99d4d0-6383-11ea-8766-ffed7c7467a2/sunrise-adventurer-club
Sunday Worship,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,office@emmanuelcroydon.org.uk,Faith Groups,"16-21, 21-65, 50+",,0,70,,,CR2 7AF,CR2 7AF,1,11/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/76388c20-5c77-11ed-bad3-cb84f6b17bd5/sunday-worship
Storytime-South Norwood Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1021,southnorwoodlibrary@croydon.gov.uk,Family Activities ,0-5,,2,254,,,SE25 5AA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c27d9ae0-442f-11ea-926a-237106de8713/storytime-south-norwood-library
Storytime-Sanderstead Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1015,sandersteadlibrary@croydon.gov.uk,Family Activities ,"0-5, Under 16",,0,312,,,CR2 0HL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c1f91d00-442f-11ea-8be0-259a18e67c8c/storytime-sanderstead-library
Storytime-Purley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1013,Dabinder.chaudhri@croydon.gov.uk,Family Activities ,0-5,,0,402,,,CR8 3YH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c188a940-442f-11ea-9119-9fdc90a75a52/storytime-purley-library
Storytime-New Addington Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1009,chris.shields@croydon.gov.uk,Family Activities ,Under 16,,0,254,,,CR0 0JD,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c112ad00-442f-11ea-9298-b9e2dd81921d/storytime-new-addington-library
Storytime-Bradmore Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1003,susan.andrew@croydon.gov.uk,Family Activities ,0-5,,0,271,,,CR5 1PE,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c09b5f50-442f-11ea-80ee-df3131be6e73/storytime-bradmore-green-library
Story and Craft- Coulsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,coulsdonlibrary@croydon.gov.uk,Family Activities ,"0-5, Under 16",,0,207,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/c018d9e0-442f-11ea-8f5c-9597440581f3/story-and-craft-coulsdon
Stay and Play-Thornton Heath Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1023,anne.pereira@croydon.gov.uk,Family Activities ,0-5,,1,659,,,CR7 7JB,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/bfaac290-442f-11ea-8b8c-0d7b6c578997/stay-and-play-thornton-heath-library
Stanley Arts,Croydon North East Local Community Partnership,,,,Other - Social Groups & Activities,,,0,125,,,SE25 6PP,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/2fe22d20-1251-11ed-b7cc-1983128d99a3/stanley-arts
Stages Theatre Group,Reaching Higher,info@reachinghigher.org.uk,,info@reachinghigher.org.uk,Youth Social Groups,Under 16,,0,548,,,SE25 6AB,SE25 6ES,1,2/24/2020 0:00,,https://croydon.simplyconnect.uk/activities/37b90100-57c9-11ea-b6d6-b30a41e3f434/stages-theatre-group
St Mildred's Parish Office,Croydon Central East Local Community Partnership,,,,Faith Groups,,,0,122,,,CR0 7EB,CR0 2TB,1,07/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/d7b07340-01e7-11ed-86af-ebbcc56cd685/st-mildreds-parish-office
St Mildred's Church Choir,St Mildred's Parish Office,parishoffice@stmildredschurch.org.uk,020 8655 1434,parishoffice@stmildredschurch.org.uk,Social Groups,"21-65, 50+, Under 16",,0,272,,,CR0 7EB,CR0 7EB,1,03/03/2020 00:00,,https://croydon.simplyconnect.uk/activities/75606ec0-c2c1-11ea-b98e-0de91c39cd12/st-mildreds-church-choir
St Matthew's Prayer Meetings,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Faith Groups,,,0,60,,,CR0 5NQ,CR0 5NQ,1,11/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/a06e6ff0-659b-11ed-a5ea-e35a5cfd6230/st-matthews-prayer-meetings
St Matthew's Coffee Morning,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Other - Social Groups & Activities,,,0,155,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/83128a10-a6d2-11ec-b483-212ef02cb991/st-matthews-coffee-morning
St Matthew's Church Croydon,Croydon Central West Local Community Partnership,,,,Faith Groups,,,0,127,,,CR0 5NQ,CR0 2TB,1,7/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/86018cc0-02b1-11ed-bb00-8312d7a96dee/st-matthews-church-croydon
ST Matthew's 8.30am Service,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Faith Groups,,,0,143,,,CR0 5NQ,CR0 5NQ,1,3/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/f2c61b60-ab64-11ec-8c27-effa9f8424fd/st-matthews-830am-service
St Matthew's 10am Service,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Faith Groups,,,0,131,,,CR0 5NQ,CR0 5NQ,1,3/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/39af2eb0-ab65-11ec-bee3-b16248f343c2/st-matthews-10am-service
St Francis Monks Hill,Croydon South East Local Community Partnership,,,,Faith Groups,,,0,101,,,CR2 8AH,CR0 2TB,1,08/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/96b028e0-13d9-11ed-8e5b-fdcc74e55603/st-francis-monks-hill
St Christopher's Hospice,Croydon Central East Local Community Partnership,,,,Palliative Care,,,0,129,,,SE26 6DZ,CR0 2TB,1,7/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/8c82ec10-029f-11ed-81a1-cdb9a67d4e1f/st-christophers-hospice
St Christopher's Hospice,Croydon North West Local Community Partnership,,,,Palliative Care,,,0,130,,,SE26 6DZ,CR0 2TB,1,7/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/466b50c0-0d93-11ed-bce5-ebae7d2938db/st-christophers-hospice
St Christopher's Hospice,Croydon South East Local Community Partnership,,,,Palliative Care,,,0,107,,,SE26 6DZ,CR0 2TB,1,08/03/2022 00:00,,https://croydon.simplyconnect.uk/activities/b39aab70-131e-11ed-b471-6f1a6fd1a993/st-christophers-hospice
St Christopher's Hospice,Croydon South West Local Community Partnership,,,,Palliative Care,,,0,121,,,SE26 6DZ,CR0 2TB,1,08/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/034aca80-1956-11ed-9a70-5d3a0dd44732/st-christophers-hospice
South West London Suicide Prevention,Mind in Croydon,admin@mindincroydon.org.uk,7917496886,jferris@bwwmind.org.uk,Mental Health,"16-21, 21-65, 50+",,0,89,,,CR8 2NE,CR8 2NE,1,4/28/2022 0:00,,https://croydon.simplyconnect.uk/activities/2c761210-c6e5-11ec-b8d4-a75d46f851b0/south-west-london-suicide-prevention
South Norwood Community Kitchen,Croydon North East Local Community Partnership,,,,Food Banks,,,0,118,,,SE25 4PQ,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/e63c9200-1254-11ed-8d89-3b1d0287838d/south-norwood-community-kitchen
South East Cancer Help Centre,Croydon South West Local Community Partnership,,020 8668 0974,,Health Improvement & Management,,,0,162,,,CR8 2HA,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/039825e0-b4ec-11ec-adab-9515c58dc511/south-east-cancer-help-centre
Soup Kitchen & Food Bank: Tuesdays & Thursday Hot Meal - West Croydon (HN),AR Project,stefan@arprojects.org,7534765220,stefan@arprojects.org,Homelessness,,,0,105,,,CR0 2RF,CR0 2RF,1,12/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/0e275350-7ad2-11ed-8bd6-e7d2a338121b/soup-kitchen-food-bank-tuesdays-thursday-hot-meal-west-croydon-hn
Soup Kitchen & Food Bank: Tuesdays & Thursday Hot Meal - West Croydon,AR Project,stefan@arprojects.org,7534765220,Stefan@arprojects.org,Food Banks,,,0,193,,,CR0 2RF,CR0 2RF,1,12/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/4ebd6900-762e-11ed-be39-4314c628607f/soup-kitchen-food-bank-tuesdays-thursday-hot-meal-west-croydon
Soda Jam Online - Weekly online music workshop for young people with learning disabilities aged 15-25,Club Soda,info@clubsoda.org.uk,07309 750 283,info@clubsoda.org.uk,Youth Social Groups,16-21,,0,146,,,CR0 1UQ,CR0 1UQ,1,11/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/77656a30-302f-11ec-b68f-15cab491320b/soda-jam-online-weekly-online-music-workshop-for-young-people-with-learning-disabilities-aged-15-25
Soda Crew DJs - DJing Workshop for Adults with Learning Disabilities in Croydon.,Club Soda,info@clubsoda.org.uk,07309 750283,info@clubsoda.org.uk,Other - Social Groups & Activities,"16-21, 21-65",,0,150,,,CR0 1TF,CR0 1UQ,1,11/09/2020 00:00,,https://croydon.simplyconnect.uk/activities/d8b45670-1e96-11eb-a0f4-3ff780c56e74/soda-crew-djs-djing-workshop-for-adults-with-learning-disabilities-in-croydon
Social Group,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Social Groups,"16-21, 21-65, 50+",,0,432,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/bb7aae10-442f-11ea-b311-db5d4f4dfc24/social-group
Social Chat Group (Zoom),Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Social Groups,,,0,89,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/8f848780-456c-11ed-abdb-f954c4b40b95/social-chat-group-zoom
Snooker Coaching Sessions,Croydon Mencap,info@croydonmencap.org.uk,0208 8684 5890 / 07510 593 236,yvonne@croydonmencap.org.uk,Social Groups,,,0,252,,,CR5 2NF,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/ba9dbae0-442f-11ea-bd43-a97a4e42e4ac/snooker-coaching-sessions
Skills for Life and Work,APASEN - Croydon Opportunity Zone,mohammed.amin@apasen.org.uk,020 8689 6617,info.croydon@apasen.org.uk,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,231,,,CR7 7JY,CR7 7JY,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/7ba59a40-1387-11eb-a81d-bf75726dce72/skills-for-life-and-work
Sisters Own Coffee Mornings,Bromley and Croydon Women's Aid,info@bcwa.org.uk,7377884170,Stefanie.b@bcwa.org.uk,"Other - Advice, Support & Self Help","16-21, 21-65, 50+",,0,598,,,SE20,CR0 2JB,1,11/24/2020 0:00,,https://croydon.simplyconnect.uk/activities/b9c86a20-442f-11ea-9ea2-1be65e3b31ef/sisters-own-coffee-mornings
Singing for the Brain – Alzheimers Society,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,,Other - Social Groups & Activities,,,0,128,,,CR0 5NQ,CR0 5NQ,1,03/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/f0dcda10-a6a1-11ec-aa76-21901eb229b7/singing-for-the-brain-alzheimers-society
Short Mat Bowls,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Exercise & Outdoor Activities,"16-21, 21-65, 50+",,0,381,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/b78cc6c0-442f-11ea-9146-d512b922d67e/short-mat-bowls
Shop and Talk,Croydon BME Forum,info@bmeforum.org,07541 365250/ 07762 832801,info@bmeforum.org,Independent Living,,,0,216,,,CR0 3RG,CR0 3RG,1,2/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/c721e0e0-8b23-11ec-b50c-7f3b6c8ad3eb/shop-and-talk
Shirley Neighbourhood Care Scheme,Croydon Central East Local Community Partnership,,,,Befriending & Mentoring,50+,,0,159,,,CR0 8EH,CR0 2TB,1,07/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/330bf910-01f0-11ed-8069-071eff15aecf/shirley-neighbourhood-care-scheme
Shared Reading Group,Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,healthierlifestyles@AgeUKCroydon.org.uk,Library & Reading Groups,50+,,0,397,,,,CR7 7DG,1,3/17/2021 0:00,,https://croydon.simplyconnect.uk/activities/2140cd10-87f0-11eb-b110-f3c1efe10392/shared-reading-group
Share a Cuppa on a Friday,Carers Information Service,info@carersinfo.org.uk,020 8649 9339,helenthompson@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,325,,,CR0 1PB,CR0 1PB,1,9/25/2020 0:00,,https://croydon.simplyconnect.uk/activities/416e1fb0-fd84-11ea-8235-854fb859ec11/share-a-cuppa-on-a-friday
Sexuality & Gender Identity Zoom Group,Croydon Drop In,enquiries@croydondropin.org.uk,07591 952 375,lornahunt@croydondropin.org.uk,Counselling,"16-21, Under 16",,0,556,,,CR0 1RF,CR0 1RF,1,01/07/2021 00:00,,https://croydon.simplyconnect.uk/activities/f9bc18f0-5104-11eb-a2ea-8b44161c4733/sexuality-gender-identity-zoom-group
Sewing workshop,FashionAdodzro,fashiondodzro@gmail.com,7568204542,fashiondodzro@gmail.com,Arts & Crafts,21-65,,0,,,,CR0 1UQ,CR0 1UQ,1,4/19/2023 0:00,,https://croydon.simplyconnect.uk/activities/4c77a8d0-eca0-11ec-ae11-7d254d70e3f2/sewing-workshop
Sewing Course - Wednesdays Afternoon,Asian Resource Centre of Croydon,info@arccltd.com,0208 684 3784,info@arccltd.com,Arts & Crafts,"16-21, 21-65, 50+, Under 16",,0,175,,,CR0 2TB,CR0 2TB,1,,,https://croydon.simplyconnect.uk/activities/bd2e3af0-4df4-11ea-a8e0-075bcf46b6ab/sewing-course-wednesdays-afternoon
Sensitive Coaching Mentoring and Dispute Resolution Support for Families,Noo Thinking,workingtogether@noothinking.co.uk,7754044373,workingtogether@noothinking.co.uk,Families,0-5,,0,18,,,SE25 5RZ,SE25 5RZ,1,3/28/2023 0:00,6/30/2023 0:00,https://croydon.simplyconnect.uk/activities/2cdf1600-867e-11ec-ba7f-89a2d72cabe5/sensitive-coaching-mentoring-and-dispute-resolution-support-for-families
Senior Your Space Youth Group,Duffus Community Foundation (DCF),info@duffusfoundation.org,7856482888,helen@duffusfoundation.org,Social Prescribing,Under 16,,0,79,,,CR0 2TB,CR0 2TB,1,04/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/28a549a0-9e0b-11ec-96d4-4bb2a669e760/senior-your-space-youth-group
Senior Your Space Youth Group,Duffus Community Foundation (DCF),info@duffusfoundation.org,7856482888,helen@duffusfoundation.org,Youth Social Groups,"16-21, Under 16",,0,138,,,CR0 2TB,CR0 2TB,1,04/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/845e0850-9e0d-11ec-a319-c9064c2e12c6/senior-your-space-youth-group
Senior Timetable,"Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,020 3976 9990,enquiries@legacyyouthzone.org,Youth Social Groups,16-21,,0,242,,,CR0 2LG,CR0 2LG,1,07/04/2019 00:00,,https://croydon.simplyconnect.uk/activities/97bd6fb0-8a5e-11ec-9569-2f74056fa1ae/senior-timetable
Senior Timetable,My Ends Partnership,Shalina.Alabaksh@cvalive.org.uk,2039769990,enquries@legacyyouthzone.org,Youth Social Groups,16-21,,0,246,,,CR0 2LG,CR0 2TB,1,07/04/2019 00:00,,https://croydon.simplyconnect.uk/activities/c47781b0-8a68-11ec-a7b0-411677fd2a59/senior-timetable
Selsdon Contact,Croydon South East Local Community Partnership,,,,Neighbourhood & Communities,,,0,110,,,CR2 8LA,CR0 2TB,1,08/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/151a6180-13dc-11ed-8af7-4104fab2945f/selsdon-contact
Selhurst  - Weekly Football Training Sessions for 14-16 year olds,XYZ Foundation,lai@xyzentertainment.co.uk,7944088539,lai@xyzentertainment.co.uk,Sports Clubs,,,0,850,,,SE25 5PH,CR0 3JD,1,2/16/2022 0:00,,https://croydon.simplyconnect.uk/activities/32a6ff70-8f02-11ec-8a8d-e32f2a28d426/selhurst-weekly-football-training-sessions-for-14-16-year-olds
Selam,Emmanuel Church,office@emmanuelcroydon.org.uk,7938819628,natasha.burt@emmanuelcroydon.org.uk,Education ,21-65,,0,82,,,CR2 7AQ,CR2 7AF,1,10/17/2022 0:00,,https://croydon.simplyconnect.uk/activities/bb738000-4d58-11ed-a8d3-ab0e1fd77e2a/selam
Seated Exercise Class - over 65s,Parchmore Methodist Church Community Centre,becky@parchmore.org,0208 653 7353 / 8998,jenny@parchmore.org,Exercise & Outdoor Activities,50+,,0,204,,,CR7 8LY,CR7 8LY,1,08/05/2019 00:00,,https://croydon.simplyconnect.uk/activities/b4739ef0-442f-11ea-b395-b1234283781e/seated-exercise-class-over-65s
Scouts (10½–14) Years,44th Croydon Air Scout Group,Croydon44thairscouts@outlook.com,07967 043520,the44th@outlook.com,Hobbies & Interests,Under 16,,0,158,,,CR7 8QQ,CR7 8QQ,1,,,https://croydon.simplyconnect.uk/activities/b3f35d20-442f-11ea-85dc-d17288ec9921/scouts-1014-years
School for pupils with profound and multiple learning disabilities,The Garwood Foundation,fundraiser@garwoodfoundation.org.uk,0208 688 560,headofschool@garwoodfoundation.org.uk,Disability,"0-5, 16-21, Under 16",,0,190,,,CR2 7HZ,CR2 7HZ,1,03/12/2020 00:00,,https://croydon.simplyconnect.uk/activities/6b6f7260-309f-11eb-afae-814474e1b993/school-for-pupils-with-profound-and-multiple-learning-disabilities
